"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20210209","20210209","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1168.91","-3.07","-0.26","0.6","2.57","1.21","-4.55","0.09","15.68","21.17","16.89"
"20210209","20210209","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1314.71","-0.82","-0.06","2.65","3.86","6.12","2.52","4.79","24.86","28.84","31.47"
"20210209","20210209","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1414.73","0.53","0.04","3.72","4.61","8.84","6.28","7.46","31.22","34.65","41.47"
"20210209","20210209","21","W_Robo 글로벌자산배분","1","99","00","01","0","1400.81","2.77","0.2","4.16","4.87","8.34","6.79","20.05","38.87","40.51","40.08"
"20210209","20210209","21","W_Robo 글로벌자산배분","1","99","00","02","0","1379.84","1.93","0.14","5.02","3.79","16.93","16.99","21.0","33.22","32.04","37.98"
"20210209","20210209","21","W_Robo 글로벌자산배분","1","99","00","03","0","1564.62","0.46","0.03","5.07","4.29","16.49","18.69","32.73","51.7","49.33","56.46"
"20210209","20210209","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1219.28","4.01","0.33","0.86","1.54","7.54","8.66","8.79","16.6","19.42","21.93"
"20210209","20210209","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1289.72","9.13","0.71","2.2","3.26","14.09","15.81","13.1","23.39","24.82","28.97"
"20210209","20210209","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1356.67","13.52","1.01","2.67","4.69","20.84","23.55","16.72","29.99","25.86","35.67"
"20210209","20210209","35","대신로보밸런스","1","00","00","01","0","1246.11","-2.32","-0.19","0.75","-0.21","8.38","8.57","11.67","17.94","15.48","24.61"
"20210209","20210209","35","대신로보밸런스","1","00","00","02","0","1355.12","-3.06","-0.23","1.08","-0.38","13.88","14.31","19.75","26.4","21.18","35.51"
"20210209","20210209","35","대신로보밸런스","1","00","00","03","0","1431.72","-3.57","-0.25","1.31","-0.33","16.65","17.18","22.84","30.83","23.5","43.17"
"20210209","20210209","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1260.75","3.56","0.28","2.5","2.83","8.62","9.32","8.43","17.93","15.89","26.08"
"20210209","20210209","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1324.18","4.85","0.37","2.6","2.95","11.1","11.75","11.62","23.23","19.15","32.42"
"20210209","20210209","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1470.98","6.91","0.47","2.79","3.22","14.87","15.58","16.57","31.93","24.52","47.1"
"20210209","20210209","45","QV 글로벌 자산배분","1","99","00","01","0","1071.09","-2.54","-0.24","0.76","3.36","2.45","-2.95","-4.1","5.43","8.78","7.11"
"20210209","20210209","45","QV 글로벌 자산배분","1","99","00","02","0","1370.29","-1.04","-0.08","1.79","3.27","7.82","5.65","3.12","25.74","26.74","37.03"
"20210209","20210209","45","QV 글로벌 자산배분","1","99","00","03","0","1390.07","5.39","0.39","3.38","4.1","13.62","13.03","2.79","23.35","22.41","39.01"
"20210209","20210209","46","웰스멘토밸류","1","00","00","01","0","1053.74","1.65","0.16","1.28","0.24","4.92","6.67","6.41","4.82","6.59","5.37"
"20210209","20210209","46","웰스멘토밸류","1","00","00","02","0","1104.91","2.8","0.25","2.26","0.37","9.56","12.83","14.16","8.07","9.32","10.49"
"20210209","20210209","46","웰스멘토밸류","1","00","00","03","0","1216.06","6.02","0.5","4.83","0.75","23.39","30.64","39.47","19.26","9.81","21.61"
"20210209","20210209","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","01","0","1085.82","0.49","0.05","0.36","0.12","1.34","1.29","3.02","7.47","8.7","8.58"
"20210209","20210209","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","02","0","1174.04","3.61","0.31","1.95","0.99","6.7","7.93","6.29","14.7","13.12","17.4"
"20210209","20210209","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","03","0","1232.39","5.45","0.44","2.61","1.32","9.44","11.12","8.45","20.03","16.11","23.24"
