"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20201027","20201026","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1159.64","-1.4","-0.12","-1.68","-2.86","-5.52","-4.81","2.25","16.42","15.35","15.96"
"20201027","20201026","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1230.96","0.64","0.05","-1.61","-0.64","-3.45","0.53","4.17","19.07","16.67","23.1"
"20201027","20201026","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1286.35","2.08","0.16","-1.58","0.61","-2.16","4.52","5.6","21.32","19.22","28.63"
"20201027","20201026","21","W_Robo 글로벌자산배분","1","99","00","01","0","1300.79","1.52","0.12","-1.61","-1.1","-0.11","18.31","18.22","28.62","25.6","30.08"
"20201027","20201026","21","W_Robo 글로벌자산배분","1","99","00","02","0","1172.11","0.69","0.06","-2.36","-0.22","0.82","14.63","6.35","13.86","9.8","17.21"
"20201027","20201026","21","W_Robo 글로벌자산배분","1","99","00","03","0","1335.08","0.79","0.06","-2.25","-0.03","3.53","24.84","22.41","30.96","24.08","33.51"
"20201027","20201026","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1132.93","-0.38","-0.03","0.05","1.81","1.53","9.01","4.09","9.23","11.3","13.29"
"20201027","20201026","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1125.57","-2.8","-0.25","-0.38","3.18","2.31","15.68","2.99","9.26","9.56","12.56"
"20201027","20201026","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1114.93","-4.65","-0.42","-0.65","4.64","3.46","23.79","0.39","8.6","4.47","11.49"
"20201027","20201026","35","대신로보밸런스","1","00","00","01","0","1143.31","1.84","0.16","0.26","1.18","1.86","8.32","5.95","10.13","6.95","14.33"
"20201027","20201026","35","대신로보밸런스","1","00","00","02","0","1178.62","2.26","0.19","0.25","1.66","2.82","14.36","8.52","12.77","6.51","17.86"
"20201027","20201026","35","대신로보밸런스","1","00","00","03","0","1213.07","2.64","0.22","0.29","2.05","3.51","16.42","10.07","14.47","5.76","21.31"
"20201027","20201026","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1159.5","-1.65","-0.14","-0.44","2.25","1.65","8.47","3.73","9.49","7.43","15.95"
"20201027","20201026","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1190.84","-2.23","-0.19","-0.59","2.9","1.97","10.98","5.65","12.39","7.97","19.08"
"20201027","20201026","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1279.7","-3.32","-0.26","-0.82","3.89","2.58","14.85","8.56","17.23","8.97","27.97"
"20201027","20201026","45","QV 글로벌 자산배분","1","99","00","01","0","1050.44","-0.83","-0.08","-1.52","-2.95","-5.7","-5.46","-3.2","3.84","2.53","5.04"
"20201027","20201026","45","QV 글로벌 자산배분","1","99","00","02","0","1259.32","-2.92","-0.23","-1.06","-0.69","-2.81","-1.76","0.92","17.35","12.94","25.93"
"20201027","20201026","45","QV 글로벌 자산배분","1","99","00","03","0","1197.66","-4.43","-0.37","-1.2","0.08","-1.82","4.7","-5.34","8.38","2.98","19.77"
"20201027","20201026","46","웰스멘토밸류","1","00","00","01","0","1005.36","3.53","0.35","1.23","1.57","2.83","7.41","1.8","3.69","2.9","0.54"
"20201027","20201026","46","웰스멘토밸류","1","00","00","02","0","1012.45","5.64","0.56","2.09","2.75","5.71","13.65","3.58","4.12","2.6","1.25"
"20201027","20201026","46","웰스멘토밸류","1","00","00","03","0","1001.15","10.15","1.02","4.15","5.46","13.23","29.05","9.23","4.36","-4.6","0.11"
"20201027","20201026","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","01","0","1069.0","0.55","0.05","-0.11","0.5","0.51","3.14","2.95","6.8","6.31","6.9"
"20201027","20201026","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","02","0","1089.13","1.78","0.16","-0.26","2.31","1.66","7.75","2.46","7.73","4.22","8.91"
"20201027","20201026","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","03","0","1112.35","2.62","0.24","-0.35","3.22","2.44","11.46","3.05","9.69","4.32","11.23"
"20201027","20201026","48","키움 글로벌 자산배분형 RA","1","00","00","01","0","1075.5","-0.4","-0.04","0.02","0.93","1.81","6.71","0.44","5.75","5.63","7.55"
"20201027","20201026","48","키움 글로벌 자산배분형 RA","1","00","00","02","0","1121.43","-0.72","-0.06","0.01","1.41","2.76","10.73","0.31","8.65","7.65","12.14"
"20201027","20201026","48","키움 글로벌 자산배분형 RA","1","00","00","03","0","1187.4","-0.44","-0.04","0.06","1.32","2.64","12.76","0.15","11.21","9.92","18.74"
"20201027","20201026","54","우리_로보어드알파_파운트 펀드1","1","00","00","01","0","1038.03","-1.16","-0.11","-0.37","1.09","1.39","7.41","-1.59","2.94","1.14","3.8"
"20201027","20201026","54","우리_로보어드알파_파운트 펀드1","1","00","00","02","0","1073.43","-0.01","0.0","-0.35","1.51","1.47","8.78","-1.16","3.78","0.47","7.34"
"20201027","20201026","54","우리_로보어드알파_파운트 펀드1","1","00","00","03","0","1073.69","-0.11","-0.01","-0.45","1.86","1.73","10.26","-1.22","3.93","0.02","7.37"
"20201027","20201026","55","우리_로보어드알파_파운트 펀드2","1","00","00","01","0","1039.01","-1.16","-0.11","-0.37","1.09","1.42","7.44","-1.37","2.96","1.21","3.9"
"20201027","20201026","55","우리_로보어드알파_파운트 펀드2","1","00","00","02","0","1077.46","0.0","0.0","-0.35","1.51","1.47","8.78","-1.08","3.74","0.58","7.75"
"20201027","20201026","55","우리_로보어드알파_파운트 펀드2","1","00","00","03","0","1076.58","-0.11","-0.01","-0.45","1.86","1.73","10.26","-1.21","3.93","0.1","7.66"
"20201027","20201026","59","디셈버 ISAAC 자산배분 해외형","1","99","00","01","0","1076.71","-0.54","-0.05","-1.51","-2.35","-4.89","-2.64","1.03","8.1","9.47","7.67"
"20201027","20201026","59","디셈버 ISAAC 자산배분 해외형","1","99","00","02","0","1153.96","-1.12","-0.1","-1.86","-1.07","-4.12","2.12","3.22","11.03","9.86","15.4"
"20201027","20201026","59","디셈버 ISAAC 자산배분 해외형","1","99","00","03","0","1170.95","-1.87","-0.16","-2.21","0.09","-3.64","6.0","2.58","10.82","6.03","17.09"
"20201027","20201026","60","디셈버 ISAAC 자산배분 국내형","1","00","00","01","0","1084.95","0.74","0.07","-0.23","0.49","0.21","3.76","2.56","3.8","5.23","8.5"
"20201027","20201026","60","디셈버 ISAAC 자산배분 국내형","1","00","00","02","0","1134.16","0.91","0.08","-0.54","1.57","0.59","8.28","2.16","3.82","4.33","13.42"
"20201027","20201026","60","디셈버 ISAAC 자산배분 국내형","1","00","00","03","0","1144.96","1.02","0.09","-0.87","2.73","0.83","12.69","0.41","2.93","2.6","14.5"
"20201027","20201026","62","QV-ISAAC 자산배분 펀드형","1","00","00","01","0","1104.5","0.8","0.07","-0.31","0.9","0.75","7.78","-0.04","4.72","5.66","10.45"
"20201027","20201026","62","QV-ISAAC 자산배분 펀드형","1","00","00","02","0","1111.89","0.49","0.04","-0.73","1.78","0.7","12.46","0.92","8.06","5.93","11.19"
"20201027","20201026","62","QV-ISAAC 자산배분 펀드형","1","00","00","03","0","1190.74","0.88","0.07","-1.04","2.51","0.74","13.54","8.28","16.21","10.47","19.07"
"20201027","20201026","70","KEB하나_크래프트 자산배분 알파","2","00","00","01","0","1001.06","0.51","0.05","-0.2","1.28","1.12","4.13","-4.38","-0.13","-1.57","0.11"
"20201027","20201026","70","KEB하나_크래프트 자산배분 알파","2","00","00","02","0","1052.83","-2.22","-0.21","-0.71","1.71","1.77","12.59","1.78","5.62","3.76","5.28"
"20201027","20201026","70","KEB하나_크래프트 자산배분 알파","2","00","00","03","0","1069.16","-3.9","-0.36","-1.05","2.26","3.2","20.83","5.87","8.23","2.73","6.92"
"20201027","20201026","72","대신로보밸런스(글로벌형)","2","00","00","01","0","1099.34","1.32","0.12","-0.01","0.91","0.93","7.06","2.76","9.44","7.26","9.93"
"20201027","20201026","72","대신로보밸런스(글로벌형)","2","00","00","02","0","1102.0","1.58","0.14","-0.2","1.43","1.35","11.14","2.58","10.91","6.28","10.2"
"20201027","20201026","72","대신로보밸런스(글로벌형)","2","00","00","03","0","1131.72","1.65","0.15","-0.24","1.59","1.65","13.74","4.1","14.52","7.6","13.17"
"20201027","20201026","73","I77","2","00","00","01","0","1052.04","-0.62","-0.06","-0.21","0.77","0.71","6.22","-1.01","2.8","3.25","5.2"
"20201027","20201026","73","I77","2","00","00","02","0","1010.91","0.15","0.01","0.0","0.77","1.2","5.36","1.41","3.75","-3.01","1.09"
"20201027","20201026","73","I77","2","00","00","03","0","977.66","0.44","0.05","0.09","0.96","1.68","6.26","2.49","4.14","-7.79","-2.23"
"20201027","20201026","80","데이터앤애널리틱스 FASST KOREA","2","00","00","01","0","1173.71","2.36","0.2","-0.68","2.09","2.65","9.62","10.16","17.38","11.56","17.37"
"20201027","20201026","80","데이터앤애널리틱스 FASST KOREA","2","00","00","02","0","1207.58","3.27","0.27","-0.89","2.88","3.64","13.28","13.4","22.82","13.27","20.76"
"20201027","20201026","80","데이터앤애널리틱스 FASST KOREA","2","00","00","03","0","1277.97","4.12","0.32","-1.19","3.61","4.6","17.37","17.93","30.71","16.52","27.8"
"20201027","20201026","84","QV 연금포트폴리오","2","00","00","01","0","1098.39","-0.99","-0.09","-0.48","0.93","1.46","6.84","3.57","9.57","6.66","9.84"
"20201027","20201026","84","QV 연금포트폴리오","2","00","00","02","0","1172.3","-2.9","-0.25","-0.66","1.65","2.13","10.99","7.04","14.81","11.69","17.23"
"20201027","20201026","84","QV 연금포트폴리오","2","00","00","03","0","1112.86","-2.69","-0.24","-0.46","2.65","3.37","14.46","1.58","10.13","4.83","11.29"
"20201027","20201026","85","키움 멀티에셋","2","00","00","01","0","1151.0","0.2","0.02","-1.05","-0.1","-0.27","4.52","6.32","13.9","13.01","15.1"
"20201027","20201026","85","키움 멀티에셋","2","00","00","02","0","1244.18","0.15","0.01","-1.5","0.11","0.04","7.59","12.28","24.56","20.52","24.42"
"20201027","20201026","85","키움 멀티에셋","2","00","00","03","0","1320.63","-0.32","-0.02","-1.77","1.07","1.58","11.37","17.59","33.79","26.48","32.06"
"20201027","20201026","87","키움 Momentum","2","00","00","01","0","1051.72","9.53","0.91","-0.27","0.87","1.68","9.16","9.66","0.52","1.17","5.17"
"20201027","20201026","87","키움 Momentum","2","00","00","02","0","1021.66","13.93","1.38","-0.31","1.32","0.78","11.29","11.6","-1.7","-2.87","2.17"
"20201027","20201026","87","키움 Momentum","2","00","00","03","0","1014.28","18.13","1.82","-0.32","1.66","0.14","14.4","14.28","-2.05","-4.59","1.43"
"20201027","20201026","89","디셈버 미국 주식 솔루션","2","99","00","01","0","1088.49","1.61","0.15","-1.16","-2.03","-5.02","-3.77","-0.46","6.37","7.22","8.85"
"20201027","20201026","89","디셈버 미국 주식 솔루션","2","99","00","02","0","1087.7","5.76","0.53","-0.84","0.7","-4.2","1.69","-1.25","7.81","5.58","8.77"
"20201027","20201026","89","디셈버 미국 주식 솔루션","2","99","00","03","0","1055.67","9.4","0.9","-0.55","3.44","-3.44","7.17","-3.52","6.18","1.24","5.57"
"20201027","20201026","90","파운트 블루웨일(펀드)1.0","3","00","00","01","0","1152.63","-0.11","-0.01","-0.45","2.73","1.84","10.2","9.32","16.54","0.0","15.26"
"20201027","20201026","90","파운트 블루웨일(펀드)1.0","3","00","00","02","0","1199.53","-0.15","-0.01","-0.67","4.07","2.17","14.38","13.25","23.27","0.0","19.95"
"20201027","20201026","90","파운트 블루웨일(펀드)1.0","3","00","00","03","0","1232.16","-0.15","-0.01","-0.87","5.42","2.88","19.19","17.5","30.02","0.0","23.22"
"20201027","20201026","91","파운트 블루웨일(ETF)1.0","3","00","00","01","0","1005.63","-1.58","-0.16","-0.73","1.55","-0.36","2.95","-0.55","2.77","0.0","0.56"
"20201027","20201026","91","파운트 블루웨일(ETF)1.0","3","00","00","02","0","995.81","-2.66","-0.27","-1.13","2.22","-0.39","4.18","-1.4","3.68","0.0","-0.42"
"20201027","20201026","91","파운트 블루웨일(ETF)1.0","3","00","00","03","0","985.57","-3.61","-0.36","-1.51","2.99","0.01","7.02","-1.72","5.89","0.0","-1.44"
"20201027","20201026","92","템피스BIGBOT클래식","3","00","00","01","0","894.73","-0.26","-0.03","-0.28","-0.52","-1.22","4.15","-4.37","-3.73","0.0","-10.53"
"20201027","20201026","92","템피스BIGBOT클래식","3","00","00","02","0","751.1","-0.63","-0.08","-0.62","-1.14","-3.35","6.46","-10.72","-11.64","0.0","-24.89"
"20201027","20201026","92","템피스BIGBOT클래식","3","00","00","03","0","1138.76","-8.39","-0.73","-0.27","4.4","10.58","25.83","17.9","27.73","0.0","13.88"
"20201027","20201026","95","스마트 로보","4","00","00","01","0","957.4","1.78","0.19","0.62","2.1","1.23","1.22","-4.38","-3.46","0.0","-4.26"
"20201027","20201026","95","스마트 로보","4","00","00","02","0","955.28","2.67","0.28","0.91","3.57","2.85","5.88","-0.62","-0.33","0.0","-4.47"
"20201027","20201026","95","스마트 로보","4","00","00","03","0","945.27","2.47","0.26","0.9","3.97","3.3","12.61","1.92","1.76","0.0","-5.47"
