"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20201128","20201127","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1144.06","-4.4","-0.38","-0.68","-0.99","-5.97","-7.02","0.02","15.28","18.01","14.41"
"20201128","20201127","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1244.11","-5.89","-0.47","-0.06","1.37","-3.68","-0.86","3.19","20.64","21.85","24.41"
"20201128","20201127","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1315.02","-6.77","-0.51","0.28","2.49","-2.44","3.24","4.96","24.46","25.86","31.5"
"20201128","20201127","21","W_Robo 글로벌자산배분","1","99","00","01","0","1289.98","-0.28","-0.02","0.23","-0.42","-3.07","8.27","16.49","28.34","27.48","29.0"
"20201128","20201127","21","W_Robo 글로벌자산배분","1","99","00","02","0","1195.15","4.4","0.37","1.87","2.27","-0.1","9.87","9.32","16.74","14.67","19.52"
"20201128","20201127","21","W_Robo 글로벌자산배분","1","99","00","03","0","1358.77","3.31","0.24","1.58","2.19","0.46","16.41","24.11","35.27","29.53","35.88"
"20201128","20201127","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1172.5","5.23","0.45","1.12","3.4","4.5","9.76","7.22","12.8","15.08","17.25"
"20201128","20201127","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1195.06","8.86","0.75","1.89","5.89","7.57","16.68","8.28","16.06","16.16","19.51"
"20201128","20201127","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1215.45","13.04","1.08","2.73","8.56","11.03","24.35","7.83","19.38","12.99","21.55"
"20201128","20201127","35","대신로보밸런스","1","00","00","01","0","1179.47","2.4","0.2","1.02","3.39","2.8","7.98","8.58","14.05","9.01","17.95"
"20201128","20201127","35","대신로보밸런스","1","00","00","02","0","1235.71","5.02","0.41","1.54","5.23","4.24","13.33","12.66","18.64","9.64","23.57"
"20201128","20201127","35","대신로보밸런스","1","00","00","03","0","1283.81","6.34","0.5","1.84","6.3","5.0","15.92","15.06","21.47","9.37","28.38"
"20201128","20201127","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1183.58","3.93","0.33","0.7","1.87","2.16","8.41","4.88","13.6","8.99","18.36"
