"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20210201","20210201","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1167.59","-1.0","-0.09","1.25","2.82","0.92","-4.51","-0.61","17.08","22.14","16.76"
"20210201","20210201","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1297.39","3.63","0.28","0.36","3.87","6.93","2.15","3.78","24.96","26.11","29.74"
"20210201","20210201","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1386.98","6.18","0.45","-0.05","4.46","10.21","5.9","6.26","30.66","30.93","38.7"
"20210201","20210201","21","W_Robo 글로벌자산배분","1","99","00","01","0","1358.4","4.64","0.34","-0.33","3.93","4.88","4.68","17.88","36.45","35.03","35.84"
"20210201","20210201","21","W_Robo 글로벌자산배분","1","99","00","02","0","1335.02","9.58","0.72","-1.38","6.03","14.61","15.13","18.74","30.12","27.28","33.5"
"20210201","20210201","21","W_Robo 글로벌자산배분","1","99","00","03","0","1513.5","10.66","0.71","-1.28","6.29","14.2","17.96","31.49","48.49","42.31","51.35"
"20210201","20210201","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1207.84","-6.04","-0.5","-0.54","1.85","7.76","8.35","8.05","15.63","18.41","20.78"
"20210201","20210201","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1260.18","-14.81","-1.16","-1.39","3.1","14.2","14.37","11.07","21.12","21.56","26.02"
"20210201","20210201","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1318.02","-20.97","-1.57","-1.9","4.89","21.74","21.99","14.29","27.51","19.28","31.8"
"20210201","20210201","35","대신로보밸런스","1","00","00","01","0","1227.72","-8.98","-0.73","-1.56","1.3","9.17","8.4","11.68","15.81","11.48","22.77"
"20210201","20210201","35","대신로보밸런스","1","00","00","02","0","1324.64","-14.75","-1.1","-2.35","2.21","15.07","14.09","19.19","22.88","14.75","32.46"
"20210201","20210201","35","대신로보밸런스","1","00","00","03","0","1393.75","-17.91","-1.27","-2.68","2.6","18.1","17.12","23.06","26.47","15.03","39.38"
"20210201","20210201","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1233.8","-11.6","-0.93","-1.44","2.1","8.08","7.75","8.02","16.89","12.41","23.38"
"20210201","20210201","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1295.67","-15.81","-1.21","-1.87","2.61","11.09","10.43","11.06","22.66","13.4","29.57"
"20210201","20210201","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1438.78","-23.4","-1.6","-2.47","3.46","15.67","14.62","15.79","32.07","15.25","43.88"
"20210201","20210201","45","QV 글로벌 자산배분","1","99","00","01","0","1068.42","-0.21","-0.02","1.15","3.63","1.74","-3.46","-4.88","6.3","9.39","6.84"
"20210201","20210201","45","QV 글로벌 자산배분","1","99","00","02","0","1359.54","-0.15","-0.01","0.09","5.04","8.3","5.2","2.73","26.38","21.94","35.95"
"20210201","20210201","45","QV 글로벌 자산배분","1","99","00","03","0","1370.84","2.92","0.21","-0.74","6.14","15.36","12.63","2.2","23.2","15.79","37.08"
"20210201","20210201","46","웰스멘토밸류","1","00","00","01","0","1040.1","-8.48","-0.81","-1.07","0.77","5.17","6.3","5.95","4.1","4.14","4.01"
"20210201","20210201","46","웰스멘토밸류","1","00","00","02","0","1076.95","-16.78","-1.53","-2.17","1.02","9.23","12.28","12.76","6.2","4.82","7.7"
"20210201","20210201","46","웰스멘토밸류","1","00","00","03","0","1144.17","-41.4","-3.49","-5.21","1.96","20.01","29.07","34.68","13.35","0.0","14.42"
"20210201","20210201","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","01","0","1081.53","-0.16","-0.01","-0.38","0.08","1.88","1.34","2.87","7.12","7.5","8.15"
"20210201","20210201","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","02","0","1151.51","-0.72","-0.06","-1.61","0.56","8.26","6.89","5.02","12.56","8.76","15.15"
"20210201","20210201","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","03","0","1200.87","-1.35","-0.11","-2.21","0.86","11.65","9.79","6.82","16.99","10.32","20.09"
"20210201","20210201","48","키움 글로벌 자산배분형 RA","1","00","00","01","0","1130.02","-4.99","-0.44","-0.85","2.44","6.29","6.23","2.07","10.91","10.15","13.0"
"20210201","20210201","48","키움 글로벌 자산배분형 RA","1","00","00","02","0","1205.53","-7.85","-0.65","-1.26","3.26","9.43","9.29","2.88","16.61","13.07","20.55"
"20210201","20210201","48","키움 글로벌 자산배분형 RA","1","00","00","03","0","1287.03","-9.26","-0.71","-1.39","3.5","10.45","10.06","3.12","20.63","14.09","28.7"
"20210201","20210201","54","우리_로보어드알파_파운트 펀드1","1","00","00","01","0","1101.17","-4.99","-0.45","0.46","0.8","7.01","7.11","1.77","8.9","5.34","10.12"
"20210201","20210201","54","우리_로보어드알파_파운트 펀드1","1","00","00","02","0","1130.86","-4.54","-0.4","0.3","1.2","6.29","6.74","0.89","9.34","3.5","13.09"
"20210201","20210201","54","우리_로보어드알파_파운트 펀드1","1","00","00","03","0","1146.02","-6.09","-0.53","-0.5","1.55","7.95","8.4","1.61","10.95","3.69","14.6"
"20210201","20210201","55","우리_로보어드알파_파운트 펀드2","1","00","00","01","0","1102.25","-4.99","-0.45","0.47","0.8","7.01","7.14","1.83","8.89","5.38","10.22"
"20210201","20210201","55","우리_로보어드알파_파운트 펀드2","1","00","00","02","0","1135.1","-4.55","-0.4","0.3","1.21","6.29","6.74","0.89","9.28","3.54","13.51"
"20210201","20210201","55","우리_로보어드알파_파운트 펀드2","1","00","00","03","0","1149.11","-6.11","-0.53","-0.5","1.55","7.95","8.4","1.61","10.94","3.69","14.91"
"20210201","20210201","59","디셈버 ISAAC 자산배분 해외형","1","99","00","01","0","1087.89","0.54","0.05","1.13","2.89","1.52","-3.09","-1.16","10.67","15.03","8.79"
