"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20201112","20201111","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1144.18","-2.5","-0.22","-1.0","-2.92","-6.42","-5.38","2.62","14.7","15.02","14.42"
"20201112","20201111","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1235.92","4.49","0.36","1.71","-0.84","-3.46","0.62","5.29","17.72","17.58","23.59"
"20201112","20201111","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1301.58","8.98","0.69","3.15","0.17","-1.99","4.82","6.83","19.51","21.28","30.16"
"20201112","20201111","21","W_Robo 글로벌자산배분","1","99","00","01","0","1283.74","-6.57","-0.51","-0.1","-2.96","-1.47","12.72","19.1","27.38","24.51","28.37"
"20201112","20201111","21","W_Robo 글로벌자산배분","1","99","00","02","0","1167.21","-11.99","-1.02","1.26","-2.22","-0.09","10.55","9.16","13.97","10.06","16.72"
"20201112","20201111","21","W_Robo 글로벌자산배분","1","99","00","03","0","1332.53","-10.6","-0.79","1.37","-1.93","2.23","19.94","24.63","32.53","24.82","33.25"
"20201112","20201111","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1140.26","-0.94","-0.08","1.72","1.18","1.68","9.05","4.36","9.82","12.06","14.03"
"20201112","20201111","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1137.9","-4.61","-0.4","3.04","1.77","2.29","15.36","3.18","10.21","10.81","13.79"
"20201112","20201111","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1133.06","-7.05","-0.62","4.5","2.57","3.33","22.48","0.67","10.17","5.78","13.31"
"20201112","20201111","35","대신로보밸런스","1","00","00","01","0","1152.79","-1.88","-0.16","1.35","0.72","0.29","7.56","6.39","10.78","6.92","15.28"
"20201112","20201111","35","대신로보밸런스","1","00","00","02","0","1195.07","-3.35","-0.28","2.08","1.03","0.51","13.15","9.1","13.93","6.78","19.51"
"20201112","20201111","35","대신로보밸런스","1","00","00","03","0","1234.17","-3.5","-0.28","2.47","1.23","0.64","15.29","10.63","15.85","6.14","23.42"
"20201112","20201111","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1166.62","-0.03","0.0","2.47","1.01","1.13","8.04","3.12","10.73","7.43","16.66"
"20201112","20201111","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1199.97","0.04","0.0","3.26","1.25","1.23","10.34","4.77","13.66","7.81","20.0"
