"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20210109","20210108","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1136.04","-0.86","-0.08","0.04","1.37","-3.93","-5.9","-0.09","14.79","19.25","13.6"
"20210109","20210108","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1255.65","1.82","0.15","0.53","2.05","1.02","0.32","3.38","22.95","23.35","25.57"
"20210109","20210108","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1338.42","3.4","0.25","0.8","2.43","3.63","3.82","5.37","29.66","28.25","33.84"
"20210109","20210108","21","W_Robo 글로벌자산배분","1","99","00","01","0","1310.99","2.34","0.18","0.31","2.01","-0.71","2.46","17.89","33.0","30.33","31.1"
"20210109","20210108","21","W_Robo 글로벌자산배분","1","99","00","02","0","1286.12","17.88","1.41","2.15","7.94","8.3","11.85","17.05","26.66","23.68","28.61"
"20210109","20210108","21","W_Robo 글로벌자산배분","1","99","00","03","0","1453.26","15.02","1.04","2.06","6.99","7.56","14.34","30.54","44.3","38.57","45.33"
"20210109","20210108","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1195.37","5.8","0.49","0.8","1.71","6.02","8.62","6.68","14.67","17.0","19.54"
"20210109","20210108","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1236.73","10.03","0.82","1.18","3.0","10.43","14.7","8.45","20.83","19.64","23.67"
"20210109","20210108","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1277.69","15.08","1.19","1.68","4.44","15.4","22.35","9.32","27.66","17.89","27.77"
"20210109","20210108","35","대신로보밸런스","1","00","00","01","0","1233.45","9.55","0.78","1.77","3.39","7.82","10.65","11.31","19.97","13.52","23.34"
"20210109","20210108","35","대신로보밸런스","1","00","00","02","0","1332.86","15.63","1.19","2.85","5.64","12.8","17.33","18.14","29.09","17.75","33.29"
"20210109","20210108","35","대신로보밸런스","1","00","00","03","0","1402.58","18.78","1.36","3.25","6.59","15.19","21.05","21.76","34.27","18.76","40.26"
"20210109","20210108","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1217.86","-0.18","-0.01","0.78","1.71","5.33","8.15","6.94","19.06","13.82","21.79"
"20210109","20210108","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1275.19","-0.16","-0.01","0.99","2.8","7.43","11.07","9.72","26.1","15.61","27.52"
