"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20200801","20200731","18","MyGPS","1","00","00","01","0","912.23","-5.52","-0.6","-1.22","4.11","10.48","-17.78","-12.41","-13.79","-13.64","-8.78"
"20200801","20200731","18","MyGPS","1","00","00","02","0","1047.55","-6.22","-0.59","-1.2","4.04","10.27","-14.98","-10.05","-6.88","-4.2","4.75"
"20200801","20200731","18","MyGPS","1","00","00","03","0","1089.66","-6.37","-0.58","-1.18","3.97","10.1","-14.56","-9.64","-7.59","-3.88","8.97"
"20200801","20200731","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1225.58","3.46","0.28","0.16","1.71","1.59","4.95","8.53","22.51","23.46","22.56"
"20200801","20200731","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1275.06","7.1","0.56","0.06","3.37","4.26","2.63","7.79","20.39","24.65","27.51"
"20200801","20200731","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1316.8","10.35","0.79","0.0","4.77","6.69","1.53","7.71","19.59","26.01","31.68"
"20200801","20200731","21","W_Robo 글로벌자산배분","1","99","00","01","0","1298.17","7.01","0.54","-0.61","6.87","17.52","13.76","19.48","28.95","26.1","29.82"
"20200801","20200731","21","W_Robo 글로벌자산배분","1","99","00","02","0","1158.95","7.26","0.63","-0.83","5.68","12.23","3.68","6.63","11.4","10.17","15.9"
"20200801","20200731","21","W_Robo 글로벌자산배분","1","99","00","03","0","1280.1","6.65","0.52","-1.88","7.07","18.77","12.02","18.24","24.33","21.27","28.01"
"20200801","20200731","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1112.15","-2.7","-0.24","-0.14","1.35","6.16","-0.48","2.43","7.52","9.61","11.22"
"20200801","20200731","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1095.4","-5.46","-0.5","-0.43","2.27","10.46","-3.46","0.27","4.73","7.09","9.54"
"20200801","20200731","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1071.02","-7.8","-0.72","-0.58","3.86","15.04","-7.13","-3.72","-0.41","2.94","7.1"
"20200801","20200731","35","대신로보밸런스","1","00","00","01","0","1134.33","1.28","0.11","0.66","3.26","6.89","2.88","6.12","6.5","7.35","13.43"
"20200801","20200731","35","대신로보밸런스","1","00","00","02","0","1164.07","1.44","0.12","0.97","4.78","11.98","4.4","8.88","6.92","7.35","16.41"
"20200801","20200731","35","대신로보밸런스","1","00","00","03","0","1193.52","1.67","0.14","1.1","5.92","13.37","4.8","10.27","6.71","7.23","19.35"
"20200801","20200731","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1143.16","0.93","0.08","0.12","2.51","6.33","-0.25","3.16","5.56","9.88","14.32"
"20200801","20200731","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1170.76","1.33","0.11","0.11","3.32","8.26","-0.08","3.96","5.51","11.09","17.08"
"20200801","20200731","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1251.71","2.11","0.17","0.12","4.53","11.12","0.13","5.19","5.85","13.08","25.17"
"20200801","20200731","45","QV 글로벌 자산배분","1","99","00","01","0","1109.53","3.01","0.27","-0.12","1.48","0.91","-0.57","1.48","10.29","10.03","10.95"
"20200801","20200731","45","QV 글로벌 자산배분","1","99","00","02","0","1297.38","5.1","0.39","0.46","2.59","2.12","-1.51","4.42","16.21","20.53","29.74"
"20200801","20200731","45","QV 글로벌 자산배분","1","99","00","03","0","1228.69","11.16","0.92","0.6","6.29","6.72","-7.83","-2.29","3.66","10.22","22.87"
"20200801","20200731","46","웰스멘토밸류","1","00","00","01","0","982.06","1.19","0.12","0.48","2.56","2.51","-0.22","-3.81","0.03","-2.69","-1.79"
"20200801","20200731","46","웰스멘토밸류","1","00","00","02","0","964.88","1.29","0.13","0.8","4.03","4.41","0.47","-6.06","-1.84","-6.85","-3.51"
"20200801","20200731","46","웰스멘토밸류","1","00","00","03","0","896.11","0.92","0.1","1.43","7.93","7.84","4.0","-9.06","-12.97","-21.46","-10.39"
"20200801","20200731","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","01","0","1066.07","1.53","0.14","0.19","1.33","2.45","1.4","2.35","5.77","5.8","6.61"
"20200801","20200731","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","02","0","1076.37","3.01","0.28","0.09","2.89","4.91","-1.59","0.41","3.29","4.44","7.64"
"20200801","20200731","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","03","0","1093.06","4.44","0.41","-0.04","4.35","7.13","-2.42","0.21","2.73","4.77","9.31"
"20200801","20200731","48","키움 글로벌 자산배분형 RA","1","00","00","01","0","1064.76","0.2","0.02","0.28","2.44","4.75","-3.48","-0.21","3.19","5.94","6.48"
"20200801","20200731","48","키움 글로벌 자산배분형 RA","1","00","00","02","0","1104.71","0.31","0.03","0.41","3.9","7.54","-5.24","-0.94","3.42","8.75","10.47"
