"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20210121","20210121","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1150.3","-0.95","-0.08","0.66","0.35","-1.57","-5.83","1.63","15.23","20.43","15.03"
"20210121","20210121","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1280.11","3.55","0.28","0.63","1.65","3.58","0.91","4.85","23.47","24.59","28.01"
"20210121","20210121","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1369.54","6.04","0.44","0.63","2.38","6.28","4.7","6.74","29.57","29.68","36.95"
"20210121","20210121","21","W_Robo 글로벌자산배분","1","99","00","01","0","1359.76","10.6","0.79","0.97","3.11","3.69","4.75","21.56","36.96","34.66","35.98"
"20210121","20210121","21","W_Robo 글로벌자산배분","1","99","00","02","0","1344.52","19.03","1.44","0.77","7.56","13.09","16.05","21.19","31.62","28.24","34.45"
"20210121","20210121","21","W_Robo 글로벌자산배분","1","99","00","03","0","1528.41","20.69","1.37","1.25","7.93","12.98","18.29","34.94","50.74","43.65","52.84"
"20210121","20210121","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1151.78","-0.12","-0.01","-3.7","-2.66","1.7","3.91","2.73","10.32","12.71","15.18"
"20210121","20210121","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1214.53","-0.15","-0.01","-3.33","-0.3","7.46","11.27","6.12","17.21","17.13","21.45"
"20210121","20210121","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1264.17","-0.37","-0.03","-3.56","1.11","12.62","18.79","7.49","23.42","15.26","26.42"
"20210121","20210121","35","대신로보밸런스","1","00","00","01","0","1244.81","2.91","0.23","-0.5","4.06","8.86","11.0","11.08","19.15","13.86","24.48"
"20210121","20210121","35","대신로보밸런스","1","00","00","02","0","1352.13","4.85","0.36","-0.82","6.64","14.65","18.14","18.16","28.06","18.36","35.21"
"20210121","20210121","35","대신로보밸런스","1","00","00","03","0","1426.28","5.97","0.42","-0.94","7.7","17.51","22.01","20.68","32.87","19.37","42.63"
"20210121","20210121","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1239.16","6.67","0.54","-0.26","3.9","6.53","9.32","7.17","18.35","14.11","23.92"
"20210121","20210121","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1303.51","8.91","0.69","-0.35","4.97","9.0","12.53","9.93","24.68","15.84","30.35"
"20210121","20210121","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1450.2","13.2","0.92","-0.49","6.6","12.66","17.5","14.12","35.04","18.66","45.02"
"20210121","20210121","45","QV 글로벌 자산배분","1","99","00","01","0","1050.32","-1.5","-0.14","0.53","0.72","-0.68","-5.69","-3.26","4.28","7.68","5.03"
"20210121","20210121","45","QV 글로벌 자산배분","1","99","00","02","0","1341.05","-1.2","-0.09","-0.35","3.35","6.21","3.85","3.61","25.49","20.88","34.1"
"20210121","20210121","45","QV 글로벌 자산배분","1","99","00","03","0","1354.11","1.97","0.15","-0.31","4.96","12.78","10.91","2.58","23.25","15.24","35.41"
"20210121","20210121","46","웰스멘토밸류","1","00","00","01","0","1050.96","1.7","0.16","-0.26","0.22","5.56","8.09","6.7","6.07","6.23","5.1"
"20210121","20210121","46","웰스멘토밸류","1","00","00","02","0","1098.24","3.12","0.28","-0.57","1.23","10.38","15.82","12.92","10.09","8.9","9.82"
"20210121","20210121","46","웰스멘토밸류","1","00","00","03","0","1195.7","7.21","0.61","-1.43","5.13","23.8","37.9","31.46","23.38","9.07","19.57"
"20210121","20210121","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","01","0","1084.52","1.04","0.1","0.06","0.47","1.41","2.36","3.31","7.81","7.41","8.45"
"20210121","20210121","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","02","0","1164.64","3.17","0.27","0.18","2.1","6.9","9.22","5.3","14.47","9.79","16.46"
"20210121","20210121","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","03","0","1219.69","4.38","0.36","0.24","2.97","9.61","12.91","6.98","19.86","12.0","21.97"
"20210121","20210121","48","키움 글로벌 자산배분형 RA","1","00","00","01","0","1139.99","5.0","0.44","-0.36","3.07","5.94","7.43","1.85","12.36","11.23","14.0"
"20210121","20210121","48","키움 글로벌 자산배분형 RA","1","00","00","02","0","1221.16","7.9","0.65","-0.53","4.53","8.8","11.09","2.44","19.12","14.9","22.12"
