"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20200917","20200916","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1208.2","-2.7","-0.22","-0.43","-0.32","-0.76","4.9","5.12","20.9","20.05","20.82"
"20200917","20200916","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1273.74","1.69","0.13","-0.88","-0.3","1.88","12.77","6.82","19.72","21.85","27.37"
"20200917","20200916","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1325.05","4.71","0.36","-1.09","-0.29","3.78","18.5","7.94","19.29","24.26","32.51"
"20200917","20200916","21","W_Robo 글로벌자산배분","1","99","00","01","0","1329.38","2.8","0.21","-0.56","1.63","11.29","36.44","20.35","29.94","26.81","32.94"
"20200917","20200916","21","W_Robo 글로벌자산배분","1","99","00","02","0","1192.07","6.12","0.52","-0.84","1.78","7.6","32.64","8.19","13.21","10.83","19.21"
"20200917","20200916","21","W_Robo 글로벌자산배분","1","99","00","03","0","1356.89","9.12","0.68","-0.76","3.76","14.82","47.85","24.22","29.21","25.33","35.69"
"20200917","20200916","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1115.6","-0.16","-0.01","-0.22","-0.93","2.91","5.61","3.05","7.56","9.65","11.56"
"20200917","20200916","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1095.45","1.17","0.11","-0.51","-1.92","5.12","9.57","0.6","4.93","6.72","9.55"
"20200917","20200916","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1073.47","1.61","0.15","-0.76","-2.69","8.14","15.03","-2.89","2.04","1.91","7.35"
"20200917","20200916","35","대신로보밸런스","1","00","00","01","0","1150.9","3.69","0.32","0.52","0.13","6.05","10.2","6.93","7.22","9.45","15.09"
"20200917","20200916","35","대신로보밸런스","1","00","00","02","0","1193.01","5.23","0.44","0.62","0.37","10.4","17.71","10.76","8.35","10.54","19.3"
"20200917","20200916","35","대신로보밸런스","1","00","00","03","0","1232.08","6.46","0.53","0.67","0.52","12.29","20.58","13.23","8.66","11.02","23.21"
"20200917","20200916","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1155.27","2.93","0.25","-0.12","0.14","3.72","8.47","4.07","6.88","8.66","15.53"
"20200917","20200916","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1186.15","3.87","0.33","-0.17","0.07","4.85","11.95","6.11","7.89","9.69","18.62"
"20200917","20200916","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1273.77","5.65","0.45","-0.26","0.04","6.55","17.39","9.29","9.64","11.43","27.38"
"20200917","20200916","45","QV 글로벌 자산배분","1","99","00","01","0","1097.55","-2.26","-0.21","-0.46","-0.34","-1.21","0.72","-0.3","9.72","6.91","9.76"
"20200917","20200916","45","QV 글로벌 자산배분","1","99","00","02","0","1300.28","4.3","0.33","0.02","-0.38","1.31","6.11","2.92","16.5","18.09","30.03"
"20200917","20200916","45","QV 글로벌 자산배분","1","99","00","03","0","1237.04","8.15","0.66","0.17","-0.52","4.2","11.35","-2.56","4.85","8.37","23.7"
"20200917","20200916","46","웰스멘토밸류","1","00","00","01","0","1007.66","5.52","0.55","0.95","1.37","4.51","12.83","-0.58","-0.31","1.16","0.77"
"20200917","20200916","46","웰스멘토밸류","1","00","00","02","0","1017.04","9.0","0.89","1.45","2.37","8.62","23.48","0.07","-0.72","0.54","1.7"
