"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20201223","20201222","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1148.53","2.24","0.2","1.09","-0.32","-3.16","-5.47","1.99","16.96","19.1","14.85"
"20201223","20201222","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1258.81","-0.46","-0.04","1.45","1.0","1.26","0.5","4.8","24.21","23.53","25.88"
"20201223","20201222","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1335.82","-1.94","-0.15","1.64","1.7","3.68","4.12","6.48","30.66","27.82","33.58"
"20201223","20201222","21","W_Robo 글로벌자산배분","1","99","00","01","0","1324.75","5.98","0.45","1.73","2.7","1.41","7.72","21.07","34.13","31.2","32.48"
"20201223","20201222","21","W_Robo 글로벌자산배분","1","99","00","02","0","1259.22","9.19","0.74","3.41","6.62","7.79","11.17","16.95","25.01","21.17","25.92"
"20201223","20201222","21","W_Robo 글로벌자산배분","1","99","00","03","0","1425.95","9.79","0.69","3.03","6.05","7.29","16.8","30.65","44.05","36.87","42.6"
"20201223","20201222","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1186.65","3.38","0.29","0.32","2.35","5.64","7.98","7.91","13.97","16.22","18.66"
"20201223","20201222","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1225.34","7.18","0.59","0.71","4.65","10.34","14.48","9.93","19.54","18.7","22.53"
"20201223","20201222","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1261.12","10.83","0.87","1.08","6.88","15.18","22.51","10.01","25.41","17.17","26.11"
"20201223","20201222","35","대신로보밸런스","1","00","00","01","0","1198.35","2.15","0.18","0.4","2.6","5.01","8.56","8.74","16.87","12.11","19.83"
"20201223","20201222","35","대신로보밸런스","1","00","00","02","0","1270.84","2.88","0.23","0.63","4.35","7.83","13.89","13.43","23.47","15.08","27.08"
"20201223","20201222","35","대신로보밸런스","1","00","00","03","0","1327.59","3.32","0.25","0.77","5.22","9.44","16.89","15.97","27.53","16.26","32.76"
"20201223","20201222","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1195.04","2.44","0.2","0.48","1.79","3.49","6.73","5.42","16.16","10.54","19.5"
"20201223","20201222","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1245.17","3.32","0.27","0.62","2.93","5.04","9.22","7.72","22.03","12.64","24.52"
"20201223","20201222","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1364.97","4.58","0.34","0.8","4.55","7.28","12.95","11.11","31.61","15.91","36.5"
"20201223","20201222","45","QV 글로벌 자산배분","1","99","00","01","0","1045.03","2.2","0.21","1.13","-0.34","-2.89","-5.47","-3.58","5.99","6.93","4.5"
"20201223","20201222","45","QV 글로벌 자산배분","1","99","00","02","0","1297.44","-0.08","-0.01","1.29","1.0","1.7","1.59","2.24","26.56","20.73","29.74"
"20201223","20201222","45","QV 글로벌 자산배분","1","99","00","03","0","1288.2","-1.87","-0.14","1.57","2.65","6.24","8.36","0.4","26.16","14.5","28.82"
"20201223","20201222","46","웰스멘토밸류","1","00","00","01","0","1051.13","2.44","0.23","0.55","1.94","5.11","8.47","6.01","6.98","7.26","5.11"
"20201223","20201222","46","웰스멘토밸류","1","00","00","02","0","1088.69","3.83","0.35","1.01","3.54","8.45","14.9","11.13","10.96","9.87","8.87"
"20201223","20201222","46","웰스멘토밸류","1","00","00","03","0","1143.99","6.62","0.58","2.13","8.24","16.0","31.52","25.56","22.07","8.17","14.4"
"20201223","20201222","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","01","0","1080.55","1.07","0.1","0.32","0.67","1.25","2.71","3.35","8.87","7.26","8.05"
"20201223","20201222","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","02","0","1141.74","1.0","0.09","0.78","2.46","5.91","8.54","4.92","14.44","9.12","14.17"
"20201223","20201222","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","03","0","1185.57","1.03","0.09","1.02","3.37","8.06","11.91","6.34","20.18","11.07","18.56"
"20201223","20201222","48","키움 글로벌 자산배분형 RA","1","00","00","01","0","1106.17","0.12","0.01","0.49","1.76","2.93","5.21","0.31","10.59","8.71","10.62"
"20201223","20201222","48","키움 글로벌 자산배분형 RA","1","00","00","02","0","1168.52","0.23","0.02","0.74","2.6","4.29","7.88","0.19","17.55","11.74","16.85"
"20201223","20201222","48","키움 글로벌 자산배분형 RA","1","00","00","03","0","1243.7","0.27","0.02","0.82","2.87","4.76","8.9","0.08","23.96","13.85","24.37"
"20201223","20201222","54","우리_로보어드알파_파운트 펀드1","1","00","00","01","0","1084.46","1.69","0.16","0.33","2.19","4.15","7.67","1.01","9.0","4.94","8.45"
"20201223","20201222","54","우리_로보어드알파_파운트 펀드1","1","00","00","02","0","1116.58","2.69","0.24","0.56","1.69","4.49","8.46","0.61","10.21","3.75","11.66"
"20201223","20201222","54","우리_로보어드알파_파운트 펀드1","1","00","00","03","0","1127.63","3.42","0.3","0.74","2.12","5.53","10.49","1.02","11.98","4.17","12.76"
"20201223","20201222","55","우리_로보어드알파_파운트 펀드2","1","00","00","01","0","1085.52","1.7","0.16","0.33","2.2","4.15","7.71","1.07","8.99","5.02","8.55"
"20201223","20201222","55","우리_로보어드알파_파운트 펀드2","1","00","00","02","0","1120.76","2.69","0.24","0.56","1.69","4.49","8.46","0.61","10.14","3.87","12.08"
"20201223","20201222","55","우리_로보어드알파_파운트 펀드2","1","00","00","03","0","1130.67","3.43","0.3","0.74","2.12","5.53","10.49","1.02","11.97","4.25","13.07"
"20201223","20201222","59","디셈버 ISAAC 자산배분 해외형","1","99","00","01","0","1071.61","1.74","0.16","1.3","-0.04","-2.2","-4.99","0.79","9.11","12.82","7.16"
"20201223","20201222","59","디셈버 ISAAC 자산배분 해외형","1","99","00","02","0","1194.79","1.91","0.16","2.03","1.66","2.38","0.86","6.38","17.61","17.13","19.48"
"20201223","20201222","59","디셈버 ISAAC 자산배분 해외형","1","99","00","03","0","1244.08","1.24","0.1","2.52","2.79","5.48","5.34","7.91","21.38","15.43","24.41"
"20201223","20201222","60","디셈버 ISAAC 자산배분 국내형","1","00","00","01","0","1097.11","-1.35","-0.12","0.12","0.5","1.44","2.26","2.9","6.09","5.47","9.71"
"20201223","20201222","60","디셈버 ISAAC 자산배분 국내형","1","00","00","02","0","1174.9","-3.73","-0.32","0.42","1.49","4.02","6.27","3.82","11.73","6.27","17.49"
