"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20201007","20201006","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1186.99","-8.71","-0.73","-0.83","-2.83","-1.71","0.52","2.27","18.22","16.64","18.7"
"20201007","20201006","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1245.21","-7.28","-0.58","-0.13","-3.81","-0.15","7.56","4.28","16.3","17.79","24.52"
"20201007","20201006","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1292.61","-7.16","-0.55","0.19","-4.25","1.01","12.76","5.87","15.5","19.88","29.26"
"20201007","20201006","21","W_Robo 글로벌자산배분","1","99","00","01","0","1317.9","-5.2","-0.39","-0.45","-2.19","4.61","33.04","18.59","28.83","25.49","31.79"
"20201007","20201006","21","W_Robo 글로벌자산배분","1","99","00","02","0","1184.4","-5.33","-0.45","-0.24","-2.53","4.19","28.82","7.18","12.88","9.95","18.44"
"20201007","20201006","21","W_Robo 글로벌자산배분","1","99","00","03","0","1346.42","-6.98","-0.52","-0.29","-2.54","7.85","42.71","23.39","29.08","24.07","34.64"
"20201007","20201006","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1118.24","4.99","0.45","0.63","-0.7","1.82","9.55","3.32","7.85","9.98","11.82"
"20201007","20201006","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1103.76","8.79","0.8","1.24","-1.14","2.92","17.81","1.89","5.56","7.63","10.38"
"20201007","20201006","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1083.53","12.69","1.19","1.83","-1.88","4.65","28.23","-1.18","1.75","3.29","8.35"
"20201007","20201006","35","대신로보밸런스","1","00","00","01","0","1141.74","1.82","0.16","0.45","-0.1","2.74","10.41","6.68","6.83","8.56","14.17"
"20201007","20201006","35","대신로보밸런스","1","00","00","02","0","1177.28","3.48","0.3","0.74","-0.37","4.15","18.03","10.19","7.82","8.96","17.73"
"20201007","20201006","35","대신로보밸런스","1","00","00","03","0","1211.5","4.37","0.36","0.92","-0.59","5.22","20.87","12.54","7.96","8.83","21.15"
"20201007","20201006","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1147.83","6.28","0.55","1.16","-2.12","2.47","13.16","3.86","5.77","8.0","14.78"
"20201007","20201006","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1176.01","8.46","0.72","1.53","-2.81","3.14","17.54","5.86","6.14","8.86","17.6"
"20201007","20201006","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1259.14","11.99","0.96","2.08","-3.81","4.24","24.56","8.96","6.98","10.34","25.91"
"20201007","20201006","45","QV 글로벌 자산배분","1","99","00","01","0","1077.5","-5.65","-0.52","-0.68","-2.74","-1.8","-2.18","-2.82","7.0","4.0","7.75"
"20201007","20201006","45","QV 글로벌 자산배분","1","99","00","02","0","1273.23","-3.34","-0.26","0.0","-2.54","0.37","1.96","0.21","13.84","15.19","27.32"
"20201007","20201006","45","QV 글로벌 자산배분","1","99","00","03","0","1209.07","-0.61","-0.05","0.47","-2.64","2.38","6.31","-4.49","1.95","5.5","20.91"
"20201007","20201006","46","웰스멘토밸류","1","00","00","01","0","999.16","2.43","0.24","0.52","0.45","3.73","10.82","-0.52","0.76","1.35","-0.08"
"20201007","20201006","46","웰스멘토밸류","1","00","00","02","0","1002.19","5.61","0.56","1.02","0.6","7.18","19.13","0.43","-1.74","0.56","0.22"
"20201007","20201006","46","웰스멘토밸류","1","00","00","03","0","981.75","12.74","1.31","2.18","0.71","15.9","41.62","5.18","-5.46","-6.79","-1.82"
"20201007","20201006","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","01","0","1067.31","0.53","0.05","0.17","-0.13","1.15","4.51","2.68","5.24","5.97","6.73"
"20201007","20201006","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","02","0","1080.34","1.2","0.11","0.65","-1.25","2.15","11.74","2.64","2.82","3.91","8.03"
"20201007","20201006","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","03","0","1099.93","1.61","0.15","0.88","-1.82","3.06","17.47","3.61","2.48","4.07","9.99"
