"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20201105","20201104","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1155.71","3.27","0.28","0.32","-3.34","-5.74","-4.2","2.22","17.05","16.27","15.57"
"20201105","20201104","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1215.17","9.82","0.81","-0.14","-2.98","-4.72","-0.64","2.94","17.39","15.42","21.52"
"20201105","20201104","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1261.86","13.68","1.1","-0.47","-2.92","-4.16","2.23","3.56","18.01","17.4","26.19"
"20201105","20201104","21","W_Robo 글로벌자산배분","1","99","00","01","0","1285.08","1.05","0.08","-0.15","-2.87","-1.12","16.34","17.39","28.17","24.96","28.51"
"20201105","20201104","21","W_Robo 글로벌자산배분","1","99","00","02","0","1152.67","3.66","0.32","-0.39","-3.11","-0.94","11.62","5.38","12.54","8.85","15.27"
"20201105","20201104","21","W_Robo 글로벌자산배분","1","99","00","03","0","1314.57","6.25","0.48","-0.21","-2.87","2.21","21.97","21.1","29.83","23.42","31.46"
"20201105","20201104","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1120.96","-2.86","-0.25","-1.24","0.69","0.61","7.0","2.96","8.02","10.18","12.1"
"20201105","20201104","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1104.3","-6.01","-0.54","-2.32","0.85","0.37","11.35","0.83","7.35","7.56","10.43"
"20201105","20201104","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1084.23","-9.09","-0.83","-3.41","1.25","0.57","16.46","-2.74","6.15","1.38","8.42"
"20201105","20201104","35","대신로보밸런스","1","00","00","01","0","1137.39","8.5","0.75","-0.05","-0.22","0.38","7.18","5.41","9.02","5.51","13.74"
"20201105","20201104","35","대신로보밸런스","1","00","00","02","0","1170.75","12.27","1.06","0.05","-0.26","0.75","12.63","7.69","11.15","4.53","17.07"
"20201105","20201104","35","대신로보밸런스","1","00","00","03","0","1204.42","14.84","1.25","0.14","-0.22","1.09","14.4","9.09","12.43","3.45","20.44"
"20201105","20201104","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1138.52","-0.85","-0.07","-2.05","-0.27","-0.4","5.89","1.41","8.07","4.97","13.85"
"20201105","20201104","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1162.1","-1.34","-0.12","-2.7","-0.47","-0.72","7.46","2.49","10.7","4.65","16.21"
"20201105","20201104","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1237.79","-1.95","-0.16","-3.65","-0.75","-1.08","9.88","4.14","15.22","4.38","23.78"
"20201105","20201104","45","QV 글로벌 자산배분","1","99","00","01","0","1047.03","1.21","0.12","0.34","-3.33","-5.58","-4.77","-3.0","5.01","3.24","4.7"
"20201105","20201104","45","QV 글로벌 자산배분","1","99","00","02","0","1252.13","8.59","0.69","0.34","-1.91","-3.14","-1.44","0.62","16.16","12.92","25.21"
"20201105","20201104","45","QV 글로벌 자산배분","1","99","00","03","0","1187.23","12.23","1.04","0.17","-1.86","-2.04","3.12","-6.0","5.61","2.53","18.72"
"20201105","20201104","46","웰스멘토밸류","1","00","00","01","0","1000.04","7.87","0.79","0.21","0.33","2.37","4.38","2.1","3.38","2.13","0.0"
"20201105","20201104","46","웰스멘토밸류","1","00","00","02","0","1004.43","11.39","1.15","0.44","0.79","5.02","8.69","4.06","3.86","1.12","0.44"
"20201105","20201104","46","웰스멘토밸류","1","00","00","03","0","986.28","16.65","1.72","0.89","1.78","11.71","18.69","9.94","4.29","-7.96","-1.37"
