"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20201219","20201218","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1138.5","-0.73","-0.06","0.94","-0.31","-5.49","-6.53","0.44","13.82","17.01","13.85"
"20201219","20201218","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1247.47","0.6","0.05","1.13","0.46","-1.89","-0.74","3.46","20.26","21.8","24.75"
"20201219","20201218","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1323.5","1.4","0.11","1.23","0.87","0.02","2.75","5.24","25.31","26.09","32.35"
"20201219","20201218","21","W_Robo 글로벌자산배분","1","99","00","01","0","1307.02","-0.06","0.0","1.15","2.35","-1.63","6.63","19.1","30.8","28.49","30.7"
"20201219","20201218","21","W_Robo 글로벌자산배분","1","99","00","02","0","1233.79","0.57","0.05","2.72","5.75","3.5","8.61","14.59","21.17","17.81","23.38"
"20201219","20201218","21","W_Robo 글로벌자산배분","1","99","00","03","0","1398.87","0.6","0.04","2.26","5.37","3.09","14.65","28.33","39.6","33.03","39.89"
"20201219","20201218","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1183.37","4.47","0.38","0.12","2.73","5.31","8.37","7.42","13.58","15.86","18.34"
"20201219","20201218","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1219.72","8.19","0.68","0.42","5.15","9.69","15.11","9.32","18.26","18.19","21.97"
"20201219","20201218","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1252.78","12.57","1.01","0.67","7.53","14.19","23.47","9.52","22.83","16.58","25.28"
"20201219","20201218","35","대신로보밸런스","1","00","00","01","0","1195.14","-0.38","-0.03","0.32","2.61","4.52","8.37","8.54","16.03","11.3","19.51"
"20201219","20201218","35","대신로보밸런스","1","00","00","02","0","1267.44","0.92","0.07","0.71","4.42","7.25","13.68","13.38","22.5","13.97","26.74"
"20201219","20201218","35","대신로보밸런스","1","00","00","03","0","1323.89","1.65","0.12","0.91","5.29","8.73","16.66","16.01","26.43","14.79","32.39"
"20201219","20201218","43","SK-쿼터백 ROBO 1호","1","00","00","01","0","1191.4","4.2","0.35","-0.89","1.52","2.58","7.19","5.55","13.97","10.37","19.14"
"20201219","20201218","43","SK-쿼터백 ROBO 1호","1","00","00","02","0","1240.13","5.66","0.46","-0.56","2.56","3.81","9.93","7.91","18.66","12.41","24.01"
"20201219","20201218","43","SK-쿼터백 ROBO 1호","1","00","00","03","0","1357.97","8.36","0.62","-0.11","4.03","5.6","14.08","11.42","26.36","15.64","35.8"
"20201219","20201218","45","QV 글로벌 자산배분","1","99","00","01","0","1035.67","-0.65","-0.06","0.87","-0.45","-5.31","-6.7","-4.97","3.6","4.9","3.57"
"20201219","20201218","45","QV 글로벌 자산배분","1","99","00","02","0","1283.57","0.55","0.04","0.92","0.68","-1.21","0.35","0.98","20.61","17.81","28.36"
"20201219","20201218","45","QV 글로벌 자산배분","1","99","00","03","0","1274.45","-0.03","0.0","1.06","1.89","2.88","6.88","-0.76","17.54","11.92","27.45"
"20201219","20201218","46","웰스멘토밸류","1","00","00","01","0","1043.62","-2.55","-0.24","-0.05","1.02","4.17","7.86","5.12","5.88","5.56","4.36"
"20201219","20201218","46","웰스멘토밸류","1","00","00","02","0","1076.71","-3.58","-0.33","0.16","1.98","6.87","13.78","9.77","9.09","7.34","7.67"
"20201219","20201218","46","웰스멘토밸류","1","00","00","03","0","1123.16","-4.89","-0.43","0.95","5.29","12.95","29.19","23.37","18.32","4.37","12.32"
"20201219","20201218","47","쿼터백 글로벌자산배분 국내상장ETF","1","00","00","01","0","1078.3","0.53","0.05","0.08","0.44","1.01","2.58","3.07","7.73","7.03","7.83"
